,STOCK_000,STOCK_001,STOCK_002,STOCK_003,STOCK_004,STOCK_005,STOCK_006,STOCK_007,STOCK_008,STOCK_009,STOCK_010,STOCK_011,STOCK_012,STOCK_013,STOCK_014,STOCK_015,STOCK_016,STOCK_017,STOCK_018,STOCK_019,STOCK_020,STOCK_021,STOCK_022,STOCK_023,STOCK_024,STOCK_025,STOCK_026,STOCK_027,STOCK_028,STOCK_029,STOCK_030,STOCK_031,STOCK_032,STOCK_033,STOCK_034,STOCK_035,STOCK_036,STOCK_037,STOCK_038,STOCK_039,STOCK_040,STOCK_041,STOCK_042,STOCK_043,STOCK_044,STOCK_045,STOCK_046,STOCK_047,STOCK_048,STOCK_049,STOCK_050,STOCK_051,STOCK_052,STOCK_053,STOCK_054,STOCK_055,STOCK_056,STOCK_057,STOCK_058,STOCK_059,STOCK_060,STOCK_061,STOCK_062,STOCK_063,STOCK_064,STOCK_065,STOCK_066,STOCK_067,STOCK_068,STOCK_069,STOCK_070,STOCK_071,STOCK_072,STOCK_073,STOCK_074,STOCK_075,STOCK_076,STOCK_077,STOCK_078,STOCK_079,STOCK_080,STOCK_081,STOCK_082,STOCK_083,STOCK_084,STOCK_085,STOCK_086,STOCK_087,STOCK_088,STOCK_089,STOCK_090,STOCK_091,STOCK_092,STOCK_093,STOCK_094,STOCK_095,STOCK_096,STOCK_097,STOCK_098,STOCK_099
STOCK_000,1.0,0.007305841172786318,-0.07313893850389909,-0.1279926767951654,-0.018012008498115465,-0.08908237208383707,-0.10197166787316142,-0.10304942114881974,-0.008054042778474003,-0.0854009242686675,-0.5472389864782206,0.1264788257682833,0.2346627066978734,-0.3446280996724847,0.1234535214095179,-0.2165829480166902,-0.08542113957804708,0.1429175967404818,-0.21307562566149493,0.173348972704175,0.1451595423982944,-0.06674859127051218,-0.07850075131035632,-0.045853220582933056,-0.08791985902674279,0.008864028069077242,0.21634709562435397,0.16518980509337988,0.05967077902669918,0.15628813376010217,-0.06086110613713257,-0.26762530292124886,-0.2653460923899351,-0.10618857305617654,-0.1792998890830741,-0.08465197215424995,-0.13899081537975985,0.12136903731921886,0.15288594686020424,-0.22416539854867082,-0.16938406110045431,-0.16437266968147224,0.06821799484169529,0.13226721784060957,-0.07320914029742469,0.12215627323455974,0.14154457691345082,0.1239860880768315,0.1354396766219832,0.08617189952301431,-0.1430528542975216,-0.08855865494534566,-0.054230678431508375,-0.21126513864839858,-0.00554751387908671,-0.06540021765668269,0.24167667451333585,-0.16166768290337166,0.15734801267448748,-0.04563095808276441,-0.17853435146119512,-0.2763837875254727,0.08359668514409933,-0.39100251805167113,-0.22448287328834987,0.23582141672437198,-0.1943493812235607,-0.10202223767023871,0.13115952560642136,0.004772701320471624,-0.06572848622994766,0.40044497176509286,0.13841050132545488,0.13041054406691746,0.042259604987214934,-0.03569995917061859,-0.12401263168400749,-0.1446357904577687,-4.332089307515232e-05,-0.4521715827315445,-0.1293149726134008,-0.17019327913842328,0.002849142916048838,-0.4135273662314342,0.025272030277052642,0.012652138479118582,0.04890399968473489,-0.3206113269747289,-0.14128887724304065,0.2901672410248934,-0.08336838327296871,0.07931622460427815,-0.11981191680927684,0.07116276835628994,-0.1826008490851092,0.048584260440971305,-0.04155682011295249,-0.07472539475228868,0.27201766355664175,-0.037482540631092624
STOCK_001,0.007305841172786318,1.0,-0.05563581756252158,-0.06069808933002884,-0.2828131842828321,-0.1644455734360047,0.09105895595505535,0.027271478447999157,0.020893802127565468,-0.07816120529103802,0.0017552960236437863,-0.04128554998805642,-0.024708245848333314,0.0032709840973080247,-0.15999763586859608,-0.08364109366308613,-0.11611324464818631,-0.1435393909089165,0.24038187480467613,-0.11736187158963281,0.10572858418250451,-0.002847649280224023,-0.17596828285294833,0.005292998633379851,0.14330898682366872,0.022700623433626013,-0.05268073001242746,0.050262372932090064,0.1594291224087511,-0.06535115818552682,0.07261125095282998,0.09248606929914864,-0.13420622469833365,-0.019222573502525257,0.011065243843335588,-0.1789330761925209,0.13073271358481298,0.2399482686349301,0.17229833643819928,-0.051021182402006246,0.1244685258124823,-0.052902002312459936,0.24499521346507144,-0.037596746871761996,0.15670891132109677,-0.15298098005417932,-0.08593739577763446,-0.18484899013046202,0.11791677046843743,0.1509762648578969,-0.12265521729231599,-0.08119468391966343,-0.12155798559110742,-0.06324536925890771,-0.08326380429966525,0.10778687237168214,0.23454074125385757,0.016716133705870075,-0.006573814383268107,0.06329983241545625,-0.029955105544592783,0.10027676441276227,0.07939048006980055,-0.021033657631134232,-0.10230514272475237,-0.07165731825689653,-0.041071063550682504,-0.19415844908303753,-0.15116936780791632,-0.010370795220485035,-0.22302383346559296,0.03977733762055083,0.07759118600106928,-0.04949725824361437,-0.1296184348078462,0.0823893546807679,0.09032042755485258,0.0376046266426244,-0.22288640230725348,-0.09389674499845028,-0.035072317710364044,-0.055461779033069106,-0.10914994880103102,-0.11582272243471241,0.08736802287711978,0.25131463628627254,-0.02177017070036503,-0.13844836172263475,0.03543103529149279,0.1025465143060568,0.20736045872030381,0.0011761957507086269,0.03249139406740033,-0.12258267143182189,-0.1663843536697438,-0.2341148133118037,-0.1485761091534126,0.11075142752827302,-0.052638222420610364,0.06775489415150028
STOCK_002,-0.07313893850389909,-0.05563581756252158,1.0,0.016494425431982512,0.04554278043678928,0.23785667396000906,0.07626887290258318,0.0034462414879571327,0.11270308831354947,0.0829188262330394,0.0035215032588609948,0.20468834407459746,-0.013571990424421348,-0.09634059881514015,-0.0582680074598832,0.11962473566332653,-0.026422512245788152,-0.0833518960554572,0.17132575419123097,-0.0829755981900786,-0.12492030342078406,0.0019292415190709565,0.10726785681126631,-0.029213268426791953,-0.01650409696625631,0.00969572726136957,0.05539853880626298,-0.10941205641860008,-0.05684543036627988,-0.15708134952140376,0.10186003530380723,-0.01577408670053666,0.15626909397681998,0.04062622858009636,-0.15770656968071542,0.019363872863854978,0.0459829393045516,-0.004437143504219711,-0.12609860750611732,0.09805346170855758,-0.01994599896102175,0.027893197168652774,-0.0769262863027062,0.008545146858472363,0.10332110658856151,-0.014945719348377878,-0.17067627950157555,-0.029312274796220773,-0.09306992750099109,-0.11004684056091073,-0.0389721787669492,-0.01897543055832908,-0.10058139191506696,-0.006443536157132729,-0.011053645256076643,0.0052989823937075065,0.07521520885572687,-0.12475066440905291,0.2057123352691772,-0.017043568344971418,-0.0038190308345678156,-0.049915211032180905,0.036584140236793565,-0.023048838931965018,0.08204987769850965,0.08867274862011236,0.14423778496143988,0.21468584551696243,-0.03293764091898856,-0.11154215840143315,0.009145080853615786,0.09240516461524731,-0.16823133148217612,0.017019940940877585,-0.05360851749457521,0.17041195373131607,0.03237173641065977,0.002788161676489033,-0.05315923787448075,0.18723511958446754,-0.0681091296994472,-0.10378741998232448,0.0013055620069376255,-0.06482368839522241,-0.1600806274990114,0.10161973263165602,0.08939405260119351,0.023328031282323948,-0.04664466937943623,-0.03675087730385908,-0.08706437284131846,0.07685235242692655,-0.11914082316008826,-0.17820962169582671,-0.04962727350094913,0.10867340138832672,-0.10318911102240272,0.05008566528468165,-0.025143979092141153,0.12236260348585164
STOCK_003,-0.1279926767951654,-0.06069808933002884,0.016494425431982512,1.0,-0.09892675515323453,0.22358933346115054,-0.05818667298015945,-0.11018051154954094,0.1731779504011238,0.12415899541711245,0.051195670131991,-0.019595582406297836,-0.014070206385128237,0.08862144638071164,-0.3872335424828796,0.01352429355097451,0.03259770386897825,0.08912480553353891,0.06046078446045147,0.12226876161030076,-0.16968817033510525,0.10817932488134374,0.32699520947361355,0.18691209409089296,0.20926689335324736,0.05715249767569442,-0.06240397832025416,-0.18448654851107027,-0.04923737522541487,-0.0007547139581949747,0.19830402484479334,0.28145405532136375,0.046432501147034455,-0.041406696740287616,0.056091147905578724,0.07185723825999236,0.1277921042847497,0.10046094330509936,-0.2683363212105499,0.20052183323829872,0.09685696036820092,-0.07274811361272131,-0.16964104219661738,0.02680017629521064,0.2573397247652696,-0.2126973477407407,0.03801873665931332,0.05823991705452526,-0.21978748874118342,-0.33179236762581465,0.10046172932341997,0.06477130815206635,0.1638372446447347,-0.16295936465912297,0.17218878130190315,-0.013282658602458829,-0.125059656304343,-0.49681921757289843,0.09776994938374484,-0.17644012892700794,0.006801205851390999,0.033696475419093465,0.009747298635753422,-0.13232516197437022,0.03614362138376122,-0.2237893437365118,0.24025086504882429,0.1846116090579212,-0.009830929921352437,-0.08591198376997913,0.02390443326919309,-0.06385388711475322,-0.37684962738250044,0.03881741152113512,0.15425031823347235,0.1905691518112522,0.14720425532633738,0.1616345123615742,0.02233346100991524,0.14087905457053707,-0.0757492308722076,0.062170507678274506,0.20102361646292985,0.14946216514706512,-0.2605424060389259,-0.1830291155591384,0.036664175708123505,0.10913366315890238,0.055952566701310595,-0.2800538336332278,-0.20055660002442305,-0.0016695540638627345,0.02024283059734683,-0.13416017526162333,0.15014332695962784,0.2115516224108774,-0.23462872391202347,0.18165705224310064,-0.2538539672629832,-0.39603287673933896
STOCK_004,-0.018012008498115465,-0.2828131842828321,0.04554278043678928,-0.09892675515323453,1.0,0.0921035833216856,-0.13954321424215735,-0.12419106431142032,0.1298058184566167,-0.026942406912462375,0.10340081318799245,-0.03461929306937531,-0.16916042118022986,0.28789785130784157,0.4929156178776555,0.28380056644128804,-0.14778250574150492,0.09403717633100037,-0.2522352713232069,0.3874254168393321,-0.05572526609302506,-0.3759253205746836,0.15588699478591445,0.12188659729249045,-0.41458557566509463,0.16809890466903196,0.02707517708301341,-0.20272984281508788,-0.2279375116393323,-0.06876453943720211,-0.07022566581179647,-0.42469223050148264,0.0740504787634589,-0.08215306909989309,0.05543853175149825,0.06367098452520963,-0.04735318504149084,-0.5118249356391513,-0.052150263572767135,-0.09998427839746694,-0.1060640118500152,0.3287449570431024,-0.5598638655568011,-0.020877785012860653,-0.3484756810882668,0.14940702798641348,-0.11612749218801162,0.061311911914887926,-0.08815132255691303,-0.3822006937241785,-0.06214904171843295,-0.007182748640648118,0.3014533972780991,0.2715585563528298,-0.047985536711704545,-0.29572901561712756,-0.2850131595008723,0.07648572107465532,0.06363847508147948,-0.13896448625820026,-0.023808643441259082,-0.19486269163739683,0.0683362816115859,-0.07075115799398615,-0.06824759535596191,0.2022233371467125,0.02216348244005941,0.14535406891999522,0.15280812357177628,-0.16839268931683982,0.31244972566907775,0.11321197348888402,0.05110410588332787,0.020981500945646218,0.1822844065378355,-0.01680760216107201,0.01409770852082847,-0.42457302174841544,0.07526251938782663,0.42306040503771264,0.1029247585510031,0.2732323989362038,-0.10195623543025766,0.004912690986043246,0.0218443617489497,-0.15891700403753242,-0.23933987618906624,0.032340927480412084,0.11952885110375805,-0.36967147915458715,-0.19682467446898708,0.0538862533658095,0.06635668993639592,0.29696902585262885,0.024081702125772847,0.2265003365732412,0.443063990317435,0.07601324950074123,0.15143977785386356,-0.0847453533183745
STOCK_005,-0.08908237208383707,-0.1644455734360047,0.23785667396000906,0.22358933346115054,0.0921035833216856,1.0,0.48662309941178,0.17255457034709373,-0.23479798521829784,0.0837329150316397,0.0669087927925334,0.014188569532585436,-0.08879667374578375,-0.15933248301869843,-0.02273268945583196,0.029372184395193606,0.2977051567490279,0.008294439802745246,0.12332719283046657,-0.09338813930150158,-0.514130260679357,-0.0070107561219428394,0.014548202807455021,-0.1993250177202803,0.020727520823173914,-0.210978676390868,0.4266834117192215,-0.11396296016973156,-0.06143928730998265,-0.4969018935416859,0.3220820137670505,0.01879796374316408,0.35314907789024974,0.12293847599556827,-0.05498243639071784,0.1369869037373376,0.27975849196333885,0.16028613095301067,-0.08078328622560091,-0.033178255746636805,-0.03222220404471851,0.00791399637519802,0.1725478083177086,0.1462515378844014,0.07263499908188678,0.09519538554481088,0.14689093231440134,-0.18850673087110795,-0.3175259318515096,-0.23151149361579396,0.0455497276931506,-0.1090689325144699,0.20451236813363818,-0.2106789013556276,-0.28125288353452466,0.05575469638451139,-0.12768840859272568,-0.20605571880669735,0.25440077525767274,-0.15874665230056548,0.20305917277628865,0.09250642374997878,0.22436513639404798,0.1050167161135426,0.13053487947195633,-0.11766353234953546,0.016815241827822444,0.5815978366452567,-0.5412327431896469,-0.40223423523239815,0.09568555774049718,0.12382145064485989,-0.3927629579008158,-0.34285311574709904,-0.0875706307858081,0.14480509250327386,0.15421913833588805,-0.16259740681750526,-0.030738300320381103,0.3487978415160683,-0.025082392407179386,-0.1748421807899306,0.19289658343504218,0.14923688686908043,-0.608785398582303,-0.0038325767048215742,-0.17506701992967214,0.5105009746254787,0.026897431985302214,-0.34072651874460513,-0.071969668733857,-0.1184476092505415,-0.28338138371042676,-0.4591770268683058,0.07692179647513682,0.36646276485272095,0.09771328920708906,-0.0032627158668987835,-0.39781468663697633,-0.2850048668015702
STOCK_006,-0.10197166787316142,0.09105895595505535,0.07626887290258318,-0.05818667298015945,-0.13954321424215735,0.48662309941178,1.0,0.1944431263181437,-0.25655538572267206,-0.027055601824579053,-0.20218475137158515,0.06867168164821534,-0.10739402506571323,-0.25746284251730983,-0.1980664695485091,0.06439030035730085,-0.09490215983311656,-0.22434389167478866,0.21488705100937416,-0.38604292926332834,-0.2024210605746575,0.06811902300860385,-0.37284648127094555,0.006765826222675229,0.05670200872473523,-0.1970386315575036,0.24146148231663125,0.1666404370329709,0.29563072512500016,-0.12177743923797053,0.22700867270487293,0.2438389140013896,-0.08979526840886128,0.07803577530148992,0.2404084185403333,0.024642637451985906,0.22091298601921214,0.37119482275870386,0.21648535354330703,-0.10035351885423498,-0.04388508586634246,0.26230348365334605,0.5796554765504224,0.12328166775574609,-0.016160749713669965,-0.05227662730471857,-0.14811919926194222,-0.1537836331660918,0.14556739965019683,0.10148899833580982,-0.17941754743149932,-0.0038064632305969534,-0.035349027581756245,-0.11667191664269098,-0.2744324857439668,0.0627472418780973,0.25011320679448545,0.31742751321236284,-0.08689895427301812,-0.3942053632471921,-0.055147442887153536,0.40508996318842394,0.2055780629867931,-0.02836272906038475,0.031093133344291403,-0.016636787624631687,-0.22914881497003087,0.14626994263770407,-0.5998125059259235,-0.40278580280539655,-0.13602504844298255,0.12817908493386557,-0.2659666184808547,-0.21975676974459799,-0.17226976535288813,-0.11901682878137683,0.26849506397511397,-0.046069600131532745,-0.43852170712754845,0.06372526592195696,0.05308533393944915,-0.0912665439241682,0.10965393186695323,-0.10135683539747688,-0.35909267544969437,0.4037581717761149,0.039959525654898846,0.379593413925501,0.13856574275665384,-0.18846674523400572,0.09391721915442981,-0.3521546700543426,-0.0713340986787415,-0.23311424631295394,0.054409523869825664,-0.019032748101391134,-0.07584194420311968,-0.1455185217978533,-0.5462848379623084,0.007900167093780929
STOCK_007,-0.10304942114881974,0.027271478447999157,0.0034462414879571327,-0.11018051154954094,-0.12419106431142032,0.17255457034709373,0.1944431263181437,1.0,-0.3462034819967749,-0.21990117786781116,0.035699652474549565,-0.16217809099447755,0.04612748479532636,-0.04258074847317573,-0.038500828603573754,0.031533548409767395,0.2915075912755622,0.11331792071133515,0.10301817884818738,-0.2021505571431232,-0.13556235266689787,0.03213622886304433,-0.11328073918950249,-0.17705614442530704,0.10462678672690515,-0.2512042252746596,0.1772200934204008,0.22745779246293577,0.10715149229172802,-0.07400324545309747,-0.01977941498572483,-0.020592391895223393,0.1647926712545356,0.20838864074194566,-0.13345758954425557,0.04344334346647321,-0.09259831986355238,0.07992140112146427,0.028351134125053946,-0.09520625502132198,0.19672434089561724,0.049561846082977305,0.15083020428246352,0.0684761768788143,0.2495791899589665,0.07370986291056959,0.21548063394825265,-0.056771493890502886,0.03651453417006125,0.30705967207715196,-0.005530471646759732,-0.011526304281472886,-0.11272125625037231,0.01807583989178163,-0.06823668947521634,0.20776662413770736,-0.19293533991380368,0.23577828132450881,0.011869934933008136,-0.09092172791972752,0.05098498220451771,0.18732415099503302,0.013483429095160523,0.02647441427272687,0.043593909548019456,-0.1456659099199485,0.04006989681542855,-0.06908268486378534,-0.14518650744385678,0.0008990750805134593,-0.03220210335563928,-0.3664108492352026,-0.1296115729636777,-0.0403588195603349,-0.09924003111435277,-0.09499893488831519,-0.06832650549391815,-0.17658586761644546,0.034405841935555584,-0.032452303389404705,-0.012549176551830842,-0.13082014813073325,0.05365065144710821,0.263470677527956,-0.11232406394914975,0.13140158797797957,0.037540615064754104,0.2556440181477831,-0.073856930622738,-0.046909414273353815,0.25870748261497084,-0.2032464983414686,-0.27509497554832524,-0.2680101696151256,0.11889415705194101,-0.09502073079830686,0.0980945942558455,0.1364867618110708,-0.1478561664294502,0.05699286158787789
STOCK_008,-0.008054042778474003,0.020893802127565468,0.11270308831354947,0.1731779504011238,0.1298058184566167,-0.23479798521829784,-0.25655538572267206,-0.3462034819967749,1.0,0.17442923397133164,-0.008111054119620261,0.2589319992529428,-0.2126016342052928,0.23742732420458482,-0.133598536390868,0.35647777851320994,-0.311228781743442,-0.15844380115204665,-0.02625908500830825,0.08353669037674351,0.20136632519383676,-0.24804102527109545,0.11066392907566548,0.33419189606721006,-0.16889376976701517,0.22843136903902028,-0.2053455310383603,-0.05714711540934589,-0.03408546527167275,0.17468033800476274,-0.10831845873004564,-0.04128982478260644,-0.12559756948493925,-0.22515742666188654,0.022967975110735693,-0.1273067025479499,0.10110738258244552,-0.10568458958725231,-0.16907078380536578,-0.005957679544191773,-0.2860891113636857,0.15727079769206662,-0.2457619768616839,-0.07536832835418862,-0.09572929820603357,-0.28803260772397,-0.46282408534960495,0.05314736087214498,0.16726148959064097,-0.12248169316036371,0.005576166050683493,-0.15774152731556226,0.035172819279726195,0.28111064015608966,0.2020240954609522,-0.023235217964999014,0.2955174942799127,-0.0839116520186052,-0.010934281936454996,-0.042873334744414425,-0.3137627496445332,-0.09806380197395757,0.03505991305212613,0.04613351385379853,-0.18998669317160308,0.11101180045176814,-0.01500203487841377,-0.047353748528003434,0.4205489420108068,-0.008146349144872321,-0.024823914463597375,0.05735457782745176,-0.13508155795130683,0.042875964247813314,0.26855894501342775,0.2026639719807357,0.05362955886804394,0.09911790535487694,-0.13417916020973533,0.1106920294537055,-0.12318626759111491,0.20856101798385301,-0.2782135157447945,-0.18137338275562473,0.12941203482093885,-0.01434797851986973,0.09327958509569843,-0.2791286977649168,0.12532983075633422,-0.14703932745332332,-0.06707704068660948,0.04725105891496272,0.24699549217457756,0.26425233911094637,-0.03722617016815219,-0.15178994349903738,-0.11891852149907439,0.01867563145522796,-0.0839318588847556,0.16945930624260755
STOCK_009,-0.0854009242686675,-0.07816120529103802,0.0829188262330394,0.12415899541711245,-0.026942406912462375,0.0837329150316397,-0.027055601824579053,-0.21990117786781116,0.17442923397133164,1.0,0.17915113224096935,0.07816999045892162,-0.050042414899952335,0.02423324770762012,-0.018800919822238377,-0.016704720961783767,-0.12421661870388499,-0.1895532987796192,-0.0070162019992121155,-0.04402006974309321,-0.12437675019972097,0.10886086078439429,0.1570024221578191,0.044972171424757915,-0.006743872010348167,0.11441722264223977,-0.1025514782830803,-0.2858493092945237,-0.18995809149706144,-0.0310144307368176,0.12402468900460308,0.28182710113240017,0.178781875628149,-0.015455667196726782,-0.002097173884523058,0.10057114847950113,-0.025730594882526183,-0.18307133181733026,-0.18775351068004675,0.24671749092667072,-0.02042062010028768,-0.09975743615727395,-0.14506874337483036,-0.09048519347035838,-0.1531723494036441,-0.025980369835810996,-0.14268415139011958,0.030377209650688502,-0.12187397358060878,-0.3355909793853972,0.03491397266973592,-0.1061212039375043,0.05270047932583028,-0.07941009820201388,0.14744803220463903,-0.12185562678788144,0.03232319594864805,-0.14270523985079542,0.04762172087600389,0.09535896341987528,0.22335210211138268,-0.04972005058136809,-0.11902030793672919,0.15792221566388903,0.1726797059578793,0.17544464152890765,0.13387190835708365,0.20428556902336895,-0.06465822868636592,-0.11551333249039711,0.010185375060173054,0.18963081517019972,0.03408778678140194,-0.05464054526875706,0.0570876700654936,0.17680728165280038,0.05357245986274736,0.3630798638692693,0.05947910208267208,0.21711715171179624,0.0990484478601867,-0.006737481864292905,0.07935258688309453,-0.026347463014433907,-0.0054506445027688215,-0.13024293867407227,-0.0893490084814007,-0.024696452166787678,-0.035138532145756865,0.07918402541504686,-0.3690216183008379,0.21513855316013805,0.08105494479625322,0.0710186878218661,0.059056352148119336,0.2168709586395935,-0.1841293745752426,-0.17206309821323668,0.1026829214131181,0.0012266315668412599
